step,mbu,mfu_w_load,non_gen_time_w_load,mfu_wo_load,non_gen_time_wo_load,reference-reward-load,generate-pp2dp,generate-broadcast-tp,generate,generate-gather2pp0,reference-fw-bw-save,reward-fw-bw-save,critic-fw-bw-save,reference-reward-offload,critic-backload_optimizer_state,critic-train,layernorm-grads-all-reduce,grads-all-reduce,embedding-grads-all-reduce,critic-offload_optimizer_state,actor-backload_optimizer_state,actor-train,actor-offload_optimizer_state
0,30.18801315682982,25.651656976370006,208.17150000000004,31.40718555875623,170.023,0.0015504,0.23359,0.003052,25.366,2.5556,17.885,14.105,26.503,3.2256,2.7547,55.653,0.0011252,0.34394,0.002732,14.798,2.6612,55.877,14.709
1,15.48322816768159,23.24042727084931,229.76961,25.34839653215298,210.66199999999998,0.0016484,0.10217,0.0090962,49.465,4.4612,31.806,26.898,50.413,0.37791,3.6693,46.622,0.0011416,0.34416,0.0028493,5.9316,3.1817,54.923,5.9471
2,31.09182818390287,29.052555265757018,183.80289999999997,32.523350733649295,164.188,0.49754,0.044211,0.0044408,24.629,2.2795,17.26,14.824,27.586,0.3652,3.8125,47.3,0.0011508,0.3439,0.0028537,5.9195,3.427,57.218,6.0907
3,30.387471723246897,29.327844924240882,182.07760999999996,32.82564060006645,162.676,0.49693,0.075383,0.0068819,25.208,3.5525,17.046,14.78,28.585,0.25821,3.8442,46.081,0.0011353,0.34398,0.0028612,5.9859,3.2977,56.184,6.0156
4,30.30094405871128,28.98009827968971,184.26244999999997,32.45219577422035,164.548,0.49364,0.078241,0.0069151,25.277,3.2628,17.569,15.35,28.912,0.24615,3.9654,47.176,0.0011268,0.34394,0.0029378,6.0801,3.3397,55.541,6.0831
5,29.47863061634261,29.452891950028675,181.30456999999998,33.04972928803953,161.57299999999998,0.49756,0.051414,0.0048924,25.993,1.5154,17.348,15.111,27.996,0.46557,4.1195,46.508,0.0013456,0.34419,0.0029099,6.029,3.1638,54.61,5.9537
6,30.57248109654505,29.19615902591192,182.89884999999998,32.71463174367394,163.228,0.50417,0.062473,0.0061069,25.054,2.2814,17.593,15.351,28.049,0.33285,3.8447,46.942,0.0011637,0.34397,0.0028007,6.0304,3.3623,55.293,6.1006
7,30.59494449180931,29.195273105821467,182.90439999999995,32.608751390810895,163.75799999999998,0.49717,0.055836,0.0054445,25.033,3.0252,17.446,15.703,28.535,0.2642,3.7335,47.492,0.0012146,0.34402,0.0028606,5.9663,3.2791,54.582,5.9033
8,30.098724502857127,29.14329285587464,183.23063000000002,32.68959804996793,163.353,0.51975,0.057953,0.0056032,25.451,2.0645,17.672,15.755,28.455,0.47763,4.1046,46.637,0.0012474,0.34403,0.002825,6.0615,3.1748,54.834,6.0591
9,30.323698565953766,29.216687512078877,182.77034,32.674596215192075,163.428,0.49725,0.070325,0.0067224,25.262,3.3454,17.163,15.218,28.816,0.27174,3.699,46.839,0.0011956,0.34404,0.0027113,5.9933,3.3397,55.392,6.0386
10,30.153526342996084,29.08542222376408,183.59519999999998,32.651021182153094,163.546,0.49817,0.082028,0.0077398,25.402,3.6558,17.746,15.353,28.42,0.4671,3.9368,47.139,0.0011685,0.34464,0.0028165,6.1975,3.2594,54.888,6.1884
11,30.438625705124263,29.198087484712044,182.88677,32.61771459967389,163.713,0.49909,0.043105,0.0042963,25.164,2.5602,17.76,15.077,28.312,0.25807,3.5186,47.447,0.0011617,0.34387,0.002687,6.0405,3.3582,55.117,5.9984
12,27.80428583815539,28.798853590032735,185.42210000000003,32.27390748204313,165.457,0.49779,0.068864,0.0065927,27.568,1.8119,17.534,15.545,29.678,0.3848,4.1498,47.876,0.0011865,0.34407,0.0028776,5.8872,3.4729,54.824,6.0704
